year,month,cat_name,location,total_money,total_discount
2017,6,Porters/Stouts - Draught,The Dram Shop Front St.,2745.42,112.08
2017,6,Red Wine - Bottled,The Dram Shop Front St.,78.12,14.88
2017,6,Rosé Wine - Bottled,The Dram Shop Front St.,135.25,11.25
2017,6,Seasonal/Event,The Dram Shop Front St.,3065.14,205.11
2017,6,Snacks,The Dram Shop Front St.,246.16,10.34
2017,6,Soda - Bottled,The Dram Shop Front St.,18.87,0.13
2017,6,Soda - Draught,The Dram Shop Front St.,641.49,21.51
2017,6,Softgoods,The Dram Shop Front St.,222.48,22.52
2017,6,Sour - Bottled,The Dram Shop Front St.,65.22,0.78
2017,6,Sour - Draught,The Dram Shop Front St.,4958.23,173.27
2017,6,Sparkling Wine - Bottled,The Dram Shop Front St.,22.25,5.75
2017,6,Tastings,The Dram Shop Front St.,360.0,0.0
2017,6,White Wine - Bottled,The Dram Shop Front St.,127.55,16.45
2017,6,Wine - Bottled,The Dram Shop Front St.,97.65,10.85
2017,6,Wine - Draught,The Dram Shop Front St.,3881.0,68.5
2017,7,,The Dram Shop Front St.,3662.71,556.7
2017,7,Ambers/Pales - Bottled,The Dram Shop Front St.,12.0,0.0
2017,7,Ambers/Pales - Draught,The Dram Shop Front St.,4448.2,541.8
2017,7,Barley Wine - Bottled,The Dram Shop Front St.,22.25,1.0
2017,7,Belgian - Bottled,The Dram Shop Front St.,78.0,0.0
2017,7,Belgian - Draught,The Dram Shop Front St.,1217.88,39.87
2017,7,Big Beer - Bottled,The Dram Shop Front St.,15.0,0.0
2017,7,Cider - Bottled,The Dram Shop Front St.,258.78,16.22
2017,7,Cider - Draught,The Dram Shop Front St.,6024.93,262.32
2017,7,FLIGHT,The Dram Shop Front St.,824.26,5.74
2017,7,Glassware,The Dram Shop Front St.,263.86,7.14
2017,7,Growlers,The Dram Shop Front St.,1828.58,22.42
2017,7,IPA - Bottled,The Dram Shop Front St.,56.11,4.89
2017,7,IPA - Draught,The Dram Shop Front St.,12697.35,649.9
2017,7,Kombucha,The Dram Shop Front St.,1147.31,32.94
2017,7,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,131.84,19.16
2017,7,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,8208.15,422.1
2017,7,Misc.,The Dram Shop Front St.,117.82,4.18
2017,7,Porters/Stouts - Bottled,The Dram Shop Front St.,39.0,0.0
2017,7,Porters/Stouts - Draught,The Dram Shop Front St.,1838.71,91.54
2017,7,Rosé Wine - Bottled,The Dram Shop Front St.,59.75,1.25
2017,7,Seasonal/Event,The Dram Shop Front St.,1549.68,255.82
2017,7,Snacks,The Dram Shop Front St.,297.73,14.77
2017,7,Soda - Bottled,The Dram Shop Front St.,15.65,0.35
2017,7,Soda - Draught,The Dram Shop Front St.,618.11,32.39
2017,7,Softgoods,The Dram Shop Front St.,406.5,17.5
2017,7,Sour - Bottled,The Dram Shop Front St.,256.09,1.91
2017,7,Sour - Draught,The Dram Shop Front St.,5508.24,122.76
2017,7,Sparkling Wine - Bottled,The Dram Shop Front St.,124.69,8.31
2017,7,Tastings,The Dram Shop Front St.,38.7,4.3
2017,7,White Wine - Bottled,The Dram Shop Front St.,258.55,31.45
2017,7,Wine - Bottled,The Dram Shop Front St.,159.75,3.75
2017,7,Wine - Draught,The Dram Shop Front St.,3053.07,81.43
2017,8,,The Dram Shop Front St.,3636.04,460.96
2017,8,Ambers/Pales - Bottled,The Dram Shop Front St.,13.0,0.0
